state,county,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
Oklahoma,Alfalfa,649,1638,1130,954,14.847861289978027,37.47426223754883,25.85220718383789,21.825668334960938
Oklahoma,Atoka,1618,3881,2699,1443,16.78249168395996,40.25516128540039,27.99502182006836,14.967327117919922
Oklahoma,Beaver,576,1241,1029,708,16.207090377807617,34.91840362548828,28.953292846679688,19.921215057373047
Oklahoma,Beckham,2145,5348,4797,2482,14.52071475982666,36.20362854003906,32.47359848022461,16.80205726623535
Oklahoma,Blaine,1215,2524,2125,1161,17.295373916625977,35.92882537841797,30.24911117553711,16.526689529418945
Oklahoma,Bryan,4227,10174,9873,6791,13.606953620910645,32.75068283081055,31.781747817993164,21.860614776611328
Oklahoma,Caddo,2848,8107,5624,3011,14.538029670715332,41.383358001708984,28.708524703979492,15.370086669921875
Oklahoma,Canadian,7994,27718,31783,25471,8.59884262084961,29.815200805664062,34.187767028808594,27.3981876373291
Oklahoma,Carter,3859,11844,9924,6613,11.969602584838867,36.73697280883789,30.78163719177246,20.51178741455078
Oklahoma,Cherokee,4102,9536,8791,8006,13.477903366088867,31.332347869873047,28.88450813293457,26.305240631103516
Oklahoma,Choctaw,1808,3889,3091,1357,17.82158660888672,38.33415603637695,30.468210220336914,13.376047134399414
Oklahoma,Cimarron,264,562,378,355,16.933931350708008,36.04874801635742,24.24631118774414,22.771007537841797
Oklahoma,Cleveland,14531,43903,59952,59491,8.16912841796875,24.68166160583496,33.70418930053711,33.44502258300781
Oklahoma,Coal,649,1558,887,649,17.339033126831055,41.624366760253906,23.697568893432617,17.339033126831055
Oklahoma,Comanche,7704,25348,27117,17160,9.962627410888672,32.779422760009766,35.06705093383789,22.190898895263672
Oklahoma,Cotton,615,1660,1149,545,15.495086669921875,41.82413864135742,28.949357986450195,13.73141860961914
Oklahoma,Craig,1335,3992,3286,1482,13.22436809539795,39.54433059692383,32.55076599121094,14.680535316467285
Oklahoma,Creek,6147,19474,14800,8250,12.629697799682617,40.011505126953125,30.40825080871582,16.950546264648438
Oklahoma,Custer,2095,5284,5386,4207,12.343860626220703,31.13363265991211,31.734621047973633,24.787885665893555
Oklahoma,Delaware,4631,10961,9512,5550,15.10732650756836,35.75716018676758,31.030208587646484,18.105304718017578
Oklahoma,Dewey,200,1337,912,775,6.203474044799805,41.47022247314453,28.287841796875,24.038461685180664
Oklahoma,Ellis,399,970,879,566,14.179104804992676,34.47050476074219,31.23667335510254,20.113718032836914
Oklahoma,Garfield,4909,14671,11684,9290,12.10484790802002,36.176456451416016,28.81096839904785,22.90772819519043
