id,lat,lon,category,name,created_on,geolocation_degrees,promoted,Street_Num,Street_Name,City,County,State,Country,Zip
10753,36.05522285,-115.2787578,atm,Elliptic Curves,1504987238,"115°16'43.53""W, 36°3'18.8""N",,8595,West Warm Springs Road,Las Vegas,Clark County,Nevada,United States,89113
10786,40.78189001,-73.97588253,shopping,"Astro West Fine Minerals, Fossils, and Meteorites",1505293861,"73°58'33.18""W, 40°46'54.8""N",,102,West 79th Street,New York,New York County,New York,United States,10024
13367,42.44531137,-83.22134972,atm,International Bitcoin,1520434115,"83°13'16.86""W, 42°26'43.12""N",,18212,Westhaven Avenue,Southfield,Oakland County,Michigan,United States,48075
14440,32.96604306,-97.04262257,atm,Coinme Bitcoin ATM,1530912078,"97°2'33.44""W, 32°57'57.75""N",,3000,Grapevine Mills Parkway,Grapevine,Tarrant County,Texas,United States,76051
10790,19.40344385,-99.0394038,shopping,Muebleria Paty,1505307953,"99°2'21.85""W, 19°24'12.4""N",,228,Calle México,Nezahualcóyotl,,Estado de México,Mexico,57600
10798,33.29635488,-111.7562932,default,TripWitz,1505342242,"111°45'22.66""W, 33°17'46.88""N",,1480,East Pecos Road,Gilbert,Maricopa County,Arizona,United States,85295
10811,29.13926294,-110.9861022,food,Tienda,1505357044,"110°59'9.97""W, 29°8'21.35""N",,497,Suaqui Grande,Hermosillo,,Sonora,Mexico,83115
10809,21.35885487,-101.9039869,default,LOS AMIGOS DEL FUTBOL,1505356886,"101°54'14.35""W, 21°21'31.88""N",,36,Calle Sin Nombre,Lagos de Moreno,,Jalisco,Mexico,
10810,21.35879492,-101.903826,default,ANDORECICLANDO,1505357017,"101°54'13.77""W, 21°21'31.66""N",,48,Calle Sin Nombre,Lagos de Moreno,,Jalisco,Mexico,
10816,33.40959155,-111.7455912,default,wshomemaintenance,1505366570,"111°44'44.13""W, 33°24'34.53""N",,342,South 40th Street,Mesa,Maricopa County,Arizona,United States,85206
10808,49.27917958,-123.13115,attraction,Photography & Video Services,1505356230,"123°7'52.14""W, 49°16'45.05""N",,1039,Burnaby Street,Vancouver,Metro Vancouver,British Columbia,Canada,V6E 1N9
14441,40.56283496,-111.8946147,atm,Coinme Bitcoin ATM,1530912378,"111°53'40.61""W, 40°33'46.21""N",,10450,State Street,Sandy,Salt Lake County,Utah,United States,84070
10820,21.29065393,-157.8383446,default,CryptoRithm,1505385918,"157°50'18.04""W, 21°17'26.35""N",,1674A,Kona Street,Honolulu,Honolulu County,Hawaii,United States,96814
